,Districs,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Cilandak,-6.28381815,106.80486349194814,Zap Permanent Hair Removal,-6.283846070747885,106.80733216073044,Health & Beauty Service
1,Cilandak,-6.28381815,106.80486349194814,Twin House Noodles & Beyond,-6.278724750563614,106.80489359733292,Noodle House
2,Cilandak,-6.28381815,106.80486349194814,Bulaf Cafe,-6.287186667239931,106.80128800780565,Café
3,Cilandak,-6.28381815,106.80486349194814,Sophie Authentique,-6.277665350872448,106.80190421455421,French Restaurant
4,Cilandak,-6.28381815,106.80486349194814,Apotek Aji Waras,-6.278052903654022,106.8063641951594,Pharmacy
5,Cilandak,-6.28381815,106.80486349194814,Ayam Goreng Presto,-6.277884380658251,106.80312408759261,Restaurant
6,Cilandak,-6.28381815,106.80486349194814,Tuku,-6.27772447898611,106.80150562896905,Coffee Shop
7,Cilandak,-6.28381815,106.80486349194814,Jakarta Coffee House,-6.278046828891716,106.80439626983471,Coffee Shop
8,Cilandak,-6.28381815,106.80486349194814,Toodz House,-6.277903149071223,106.80181594021266,Café
9,Cilandak,-6.28381815,106.80486349194814,Srsly Coffee,-6.277820744085363,106.80571207895039,Coffee Shop
10,Cilandak,-6.28381815,106.80486349194814,Pagi Sore,-6.2773953689367294,106.7993024318945,Padangnese Restaurant
11,Cilandak,-6.28381815,106.80486349194814,Holycow! Steakhouse,-6.291587819998643,106.80092272960407,Steakhouse
12,Cilandak,-6.28381815,106.80486349194814,W&S,-6.2919065478539355,106.80106121783606,Wine Bar
13,Cilandak,-6.28381815,106.80486349194814,Crematology x Cipete,-6.27774565481843,106.80255606388467,Coffee Shop
14,Cilandak,-6.28381815,106.80486349194814,Animo Bakery,-6.2767524690799625,106.7988412319126,Bakery
15,Cilandak,-6.28381815,106.80486349194814,Pagi Sore,-6.2790284805434275,106.81320759882453,Padangnese Restaurant
16,Cilandak,-6.28381815,106.80486349194814,Nasi Goreng MPR,-6.279344100686535,106.79713530642094,Food Truck
17,Cilandak,-6.28381815,106.80486349194814,Ikan Bakar Cianjur,-6.27795241644849,106.80722360900107,Sundanese Restaurant
18,Cilandak,-6.28381815,106.80486349194814,JENJA Jakarta,-6.2918491882970695,106.80101581748337,Nightclub
19,Cilandak,-6.28381815,106.80486349194814,Bebek Tepi Sawah,-6.2917002339266,106.79966367350124,Asian Restaurant
20,Cilandak,-6.28381815,106.80486349194814,TOUS les JOURS,-6.291654836724061,106.79972971462867,Bakery
21,Cilandak,-6.28381815,106.80486349194814,ACE Hardware,-6.283972716374345,106.79600707798454,Hardware Store
22,Cilandak,-6.28381815,106.80486349194814,Nasi Pedes Cipete,-6.278084,106.805458,Indonesian Restaurant
23,Cilandak,-6.28381815,106.80486349194814,Gordi HQ,-6.284174581185481,106.81181919232249,Coffee Shop
24,Cilandak,-6.28381815,106.80486349194814,All Fresh,-6.2927934963122825,106.80145741735295,Fruit & Vegetable Store
25,Cilandak,-6.28381815,106.80486349194814,Ayam Goreng PRESTO,-6.2779331352755445,106.80305484089135,Asian Restaurant
26,Cilandak,-6.28381815,106.80486349194814,Starbucks,-6.291290419435248,106.80464962803612,Coffee Shop
27,Cilandak,-6.28381815,106.80486349194814,LEGO Store,-6.291684729177261,106.79976045743972,Toy / Game Store
28,Cilandak,-6.28381815,106.80486349194814,Coquelicot Le Bistro,-6.278229728306924,106.80954151159271,French Restaurant
29,Cilandak,-6.28381815,106.80486349194814,Bermvda,-6.29162050135568,106.80038524265234,Coffee Shop
30,Cilandak,-6.28381815,106.80486349194814,Baskin-Robbins,-6.291314212487577,106.79966801471473,Ice Cream Shop
31,Cilandak,-6.28381815,106.80486349194814,DUA Coffee Cipete,-6.2778149010020305,106.8005297433268,Coffee Shop
32,Cilandak,-6.28381815,106.80486349194814,"Soto Ayam Ambengan ""Cak Di""",-6.273937238115246,106.80890317974098,Javanese Restaurant
33,Cilandak,-6.28381815,106.80486349194814,Papaya Fresh Gallery,-6.281454793166917,106.7946378423885,Grocery Store
34,Cilandak,-6.28381815,106.80486349194814,Soto Banjar Nyaman Ibu H. Amir,-6.283950930041807,106.80711139682978,Soup Place
35,Cilandak,-6.28381815,106.80486349194814,Starbucks,-6.291604031525294,106.79981755759614,Coffee Shop
